cell_type,sugar_100Hz,jon_100Hz
DNa01,0.33,0.0
DNa02,0.0,2.0
DNa06,0.0,1.33
DNa11,0.0,2.0
DNa16,7.0,1.0
DNae007,0.0,0.33
DNb05,0.0,7.67
DNb06,0.0,9.0
DNbe001,0.0,42.33
DNbe007,0.0,5.33
DNde002,1.67,0.0
DNg06,0.0,15.0
DNg07,0.0,61.33
DNg103,94.67,0.0
DNg105,39.33,0.0
DNg108,0.0,1.0
DNg11,0.0,3.67
DNg13,0.0,8.67
DNg15,0.0,37.33
DNg16,39.67,0.0
DNg28,45.0,0.0
DNg29,0.0,55.33
DNg31,65.0,0.0
DNg35,32.67,50.0
DNg38,28.33,0.0
DNg39,0.0,0.33
DNg47,4.33,0.0
DNg51,0.0,0.33
DNg56,0.0,0.33
DNg57,0.0,20.67
DNg60,7.67,0.0
DNg62,0.0,3.33
DNg67,1.0,0.0
DNg74_a,0.0,1.0
DNg75,20.33,2.0
DNg84,0.0,73.33
DNg90,4.0,0.0
DNg96,42.0,0.0
DNg97,0.0,8.67
DNg99,0.0,0.33
DNge006,0.0,1.0
DNge007,36.0,0.0
DNge011,0.0,18.33
DNge018,24.33,0.0
DNge023,65.67,0.0
DNge031,120.33,0.0
DNge033,0.0,1.0
DNge037,0.0,9.33
DNge040,19.0,0.0
DNge041,0.0,0.33
DNge042,69.0,0.0
DNge043,3.33,0.0
DNge046,29.0,0.0
DNge051,55.33,0.0
DNge054,0.0,38.33
DNge059,118.0,0.0
DNge060,1.33,0.0
DNge062,34.0,0.0
DNge065,6.0,0.0
DNge078,0.0,3.33
DNge080,60.33,0.0
DNge083,0.0,0.67
DNge084,0.0,19.33
DNge091,0.0,51.0
DNge098,5.67,0.0
DNge101,27.33,0.0
DNge106,43.0,0.0
DNge107,0.0,8.33
DNge111,0.0,1.33
DNge113,0.0,0.33
DNge123,3.33,0.0
DNge125,48.67,0.0
DNge143,0.33,0.0
DNge173,1.0,0.0
DNge174,2.33,0.0
DNp06,0.0,0.67
DNp10,0.0,2.0
DNp11,0.0,1.67
DNp12,0.0,5.67
DNp18,0.0,17.0
DNp19,0.0,1.0
DNp33,0.0,29.33
DNp35,0.0,1.0
DNp41,0.0,1.67
DNp56,0.0,5.0
DNp73,0.0,0.67
DNpe002,0.0,22.33
